Store,elasticity,r2
412,-0.0010715270422334208,0.3381148642813888
414,-0.013158307291888327,0.4185632653780197
417,-0.06526847194224482,0.6256761675854638
418,-0.08889306286886706,0.6526480786539888
420,-0.022954106741396203,0.48471864395101116
421,0.001155654298375615,0.4004783314224112
424,-0.021871071257844724,0.4933261368577476
427,-0.0688411150569328,0.6469764781459885
428,-0.0265474637786779,0.43874600264845076
429,-0.04133227349049827,0.461673121143489
434,-0.012176895998934144,0.4030470964216526
437,-0.010665199682757597,0.3661816588135586
438,-0.07549569154724553,0.626687747559741
440,-0.0580448220158202,0.6219420467684049
442,-0.03353108145739797,0.5486887566414025
446,-0.09048079134913595,0.653088380268354
449,-0.05540948168811219,0.5991313964031971
450,-0.022584764158473547,0.394387019021481
451,-0.03722895707558749,0.4842989459699534
452,-0.0800927582211006,0.6810955515579751
457,-0.03777792508263772,0.5374973247329586
459,-0.080738632395035,0.6689688629860677
461,-0.023845947277408713,0.407990179436332
471,-0.03387873895175546,0.5124749134481937
474,-0.07150311249454266,0.6308049344377715
477,-0.04617720924687891,0.5429986514388592
479,-0.06224888630723535,0.6071643708119379
481,-0.0473282779079745,0.606818072448587
483,-0.09431874534882984,0.6088133724525204
485,-0.021453611123909692,0.4685060848372474
486,-0.07328168409487884,0.6050322562652966
487,-0.037119784953436215,0.5578505044033315
489,-0.12095195671094244,0.6846443888027546
490,-0.0052696712462726725,0.2913449198298689
491,-0.035225088008116134,0.5550682031673133
492,-0.039039104401840705,0.5371986370610949
493,-0.04163054855848487,0.5497216143650353
495,-0.060854875696248756,0.6279964096249482
498,-0.002690088574224571,0.29592732006413536
499,-0.02476108722508899,0.5358352271431222
500,-0.010530022227739667,0.5457526432631927
502,-0.036715277646418534,0.5467110444028438
503,-0.05171630573453243,0.537993285721831
505,-0.061919605486058404,0.6310641132088407
506,-0.07170532770852173,0.6621886948286408
507,-0.042155690278241384,0.5263301337108488
508,-0.05403442708676916,0.5456570629998618
509,-0.08075336021867113,0.7000128692207701
512,-0.01863360742811606,0.5279384548565069
514,-0.05241294653434996,0.6150266534505967
515,-0.019039149098463312,0.4364104942963549
516,-0.06549937148312063,0.6016537427313052
518,-0.042176658965593194,0.49947891221778007
519,-0.02793690512862198,0.511015390927745
520,-0.044604133491616585,0.595785219314878
521,-0.04213984651181672,0.49816719175703905
522,-0.027232095893808067,0.4549274184706189
526,-0.08266151386555809,0.6711065574814354
528,-0.06421929537497478,0.6660801986166787
534,-0.05676099124108269,0.558280561905399
536,-0.05784041413175022,0.5550799847349556
537,-0.045951894973587204,0.6539477737299415
539,-0.007756315817870882,0.3959056749707591
540,-0.0423532916777849,0.6313748798411521
542,-0.056039818924707246,0.6430633944022557
544,-0.074084325996162,0.596128256752632
545,-0.07212256578987528,0.7108400585501093
547,-0.02281915370960024,0.4534255710541448
552,-0.11879252967825052,0.7721024011510288
553,0.002746834494161632,0.3319669584077113
555,-0.04686427297321519,0.6023251757259982
559,-0.10282731077601728,0.649995348531193
563,-0.01956713646535725,0.44731052670777827
564,-0.0263909578978109,0.46752987380565947
566,-0.057904801872144224,0.6646737028777407
567,-0.07315367893825427,0.6303171027722554
568,-0.011206895763457264,0.47741613780311887
571,-0.007498051377936257,0.3793199933930095
572,-0.04927622805580294,0.5576392383374214
573,-0.07412574439700367,0.6860360239742589
575,-0.135326148367791,0.7608749948812273
577,-0.042440256319924166,0.5431090200605453
584,-0.038314869914393035,0.5725182491436728
587,-0.02108561953990981,0.40032648384606506
589,-0.0773598301629762,0.7777409406437046
590,-0.015970188534363106,0.45955223429967607
591,-0.04739135536352894,0.5951693734575634
597,-0.032444985871765,0.47309219183566353
598,-0.024627113991930752,0.4592070680734013
600,-0.035236814434255234,0.5379398891277682
601,-0.03428369100535028,0.4972574574620209
602,-0.05701553768403583,0.6203190345562399
603,-0.06141671764631709,0.6616073952532346
605,-0.04683576160914403,0.5778034909399459
607,-0.15005701120011486,0.7474076350316625
608,-0.09353819738745159,0.648460542251967
611,-0.024661214886533618,0.41719237211706406
612,-0.03945065059222913,0.4649735350136446
613,-0.027332352576943227,0.5276554834071061
616,-0.05596545095088843,0.6010328516849992
617,-0.08284481085657858,0.6959105289083749
619,-0.10070815225110807,0.7178103201643882
620,-0.009092721286280595,0.4316026367098762
623,-0.05561470646044592,0.47340596626496634
625,-0.07186441680299163,0.6476388752645506
629,-0.037277494417735244,0.5774763149556864
631,-0.03771794646320434,0.554883806866658
633,-0.007858569968619854,0.3261714977131711
636,-0.08457151093968962,0.6613243051637461
637,-0.0461728000870463,0.5877394398481068
641,-0.08137417096544325,0.6333180712644619
642,-0.033028485959445464,0.5318516115036771
643,-0.04643012819287864,0.5674637246090899
644,-0.010572899507826167,0.3649552279601781
645,-0.04230787426189503,0.5334201065090651
650,-0.018583777038291796,0.40584936605168775
653,-0.056061803960851184,0.6015173484315002
655,-0.04185406294970753,0.5561998624768263
656,-0.038202858047929694,0.5363690645418023
657,-0.05447597178896185,0.564789949130992
658,-0.07533158640554362,0.6680575775848008
660,-0.09548162869953598,0.7272703703170831
665,-0.0765277221464222,0.6386037528940387
666,-0.031101189702808674,0.553874004998517
669,-0.03112702194972848,0.4828058194861654
670,-0.056770286673606146,0.6306441371692993
671,-0.04618630510788821,0.6438090513499517
673,-0.04146470580378897,0.6350013006492037
674,-0.060887203357464455,0.5571587390453208
675,-0.08937537184253384,0.6277203423518072
677,-0.042284113136565084,0.5306278473449682
678,-0.04605098937925642,0.5180496388480758
680,-0.0023667653543745504,0.40474188123224064
681,-0.04931549067466276,0.6398921079057887
684,-0.019876263519469098,0.4784159763186906
685,-0.09959461170970083,0.6898012408437155
688,-0.10008680080806173,0.6633303528511826
691,-0.03939472685914612,0.47491552354711375
693,-0.11028348637097138,0.7379072857142512
694,-0.015467573195101655,0.4530119312529586
695,-0.11381405514377609,0.7144125859643339
697,-0.04140301672643712,0.5883126939887617
699,-0.031548851672022704,0.5033678063469733
700,-0.06724616608049741,0.6580947617319229
701,-0.05823375650413239,0.6388118949089838
702,-0.056886765198420085,0.5929853725767815
705,-0.07622513141299633,0.6367464275202908
706,-0.019990580703066176,0.4283330060955295
708,-0.031652012620209946,0.7381873728719284
710,-0.04689124033100964,0.5246547431933695
711,-0.06257815255176294,0.6352533134228571
712,-0.05365822325292387,0.5664617030637558
713,-0.025439776056319863,0.4943964044956779
714,-0.02918830118938573,0.5991338637108503
716,-0.023904868106017677,0.44218108419270996
717,-0.07554657227146327,0.667427755392449
719,-0.01605605212566942,0.38159391155720457
720,-0.04071153487571169,0.5693948877634916
721,-0.019646851389445916,0.5374866225420798
723,-0.02634701737252773,0.5815446847292527
728,-0.01895005306461489,0.41165287188780575
731,-0.06492440213869591,0.641056002649455
734,-0.08798594237443154,0.6394685278455573
736,-0.037439751841188536,0.5444706842700058
737,-0.06292630804306515,0.5481361162224179
739,-0.044666159623622054,0.5743014341820378
743,-0.09604436923482942,0.699108163629391
744,-0.01712468341171039,0.4513696762210384
745,-0.11408019413772089,0.7176086701696354
